person_age,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,loan_status,person_gender_female,person_gender_male,person_education_Associate,person_education_Bachelor,person_education_High School,person_education_Master,person_education_Other,person_home_ownership_MORTGAGE,person_home_ownership_OWN,person_home_ownership_Other,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,previous_loan_defaults_on_file_No,previous_loan_defaults_on_file_Yes
21,12282,0,1000,11,0,2,504,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
24,13866,0,1500,7,0,3,600,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
23,14293,0,1400,9,0,3,607,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
24,15229,1,1750,11,0,3,631,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
22,15013,0,1500,14,0,3,688,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
24,15928,1,1600,13,0,3,689,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
25,16211,2,1750,13,0,3,597,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
23,16916,2,1400,9,0,4,615,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
21,18421,1,1500,11,0,4,623,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
22,18367,0,2100,11,0,4,583,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
23,19175,1,1750,12,0,3,587,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
25,19158,4,1750,15,0,4,625,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
21,19169,2,1500,10,0,2,537,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
21,19414,2,1000,7,0,4,681,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
23,20401,4,2275,13,0,4,573,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
